name,val,val_min,val_max
phospho_sigma,0.8979009951167042,0.8060527726563707,0.9467957636470322
kinase2_phospho_sigma,0.4230079944679142,0.3909122293926112,0.4469505586106721
kin2_bg_phospho_rate,-0.634974132558127,-0.6745885676514086,-0.6129722952109882
sub2_bg_phospho_rate,-2.4335940946547785,-8.0,-2.0370370772480255
kinase,-0.063251457600492,-0.11284402547330374,-0.03323775109574636
L+A,1.6094756761585278,1.2491350011988176,2.4607291519554764
pptase_weak,-0.0230883033519255,-0.19964028113494672,0.1951681875454596
kinase2_wt,-0.1281052479557784,-0.17981500581031679,-0.08958457109664254
SH2,3.904794234118592,3.848754362578895,4.026816558631618
pptase,0.837792287397062,0.7847272351343239,0.9056628664371215
nb_SH2,5.165406661984555,5.017402307763713,5.443880299245951
kinase2_dead,-3.338873867166063,-8.0,-1.3311970145191183
kinase_weak,-2.889651424700435,-8.0,-1.7065736014370112
kinase_non-binding,5.34975527437432,5.13103121849878,5.548334532015251
pptase_non-binding,5.601548115454239,5.03106387194907,8.0
E+A,3.1168542076988848,-8.0,4.377811307550084
E+E,4.045567253369909,3.8789518554942415,4.828492910484199
kinase_dead,-5.592703786976171,-8.0,-2.3351018088315767
pptase_dead,-2.55225258990566,-8.0,-0.7369713922768273
kinase2_weak,-1.058866782235267,-1.3484866672446916,-0.9566417827478796
kinase2_medium,-0.3834849154312757,-0.5257948324395515,-0.2173602230604645

